TRINITY_DN5158_c0_g1	black	1
TRINITY_DN4792_c1_g2	blue	2
TRINITY_DN505_c4_g1	brown	3
TRINITY_DN5540_c0_g1	cyan	4
TRINITY_DN426_c9_g1	green	5
TRINITY_DN1205_c1_g1	greenyellow	6
TRINITY_DN719_c0_g2	magenta	7
TRINITY_DN1731_c1_g2	midnightblue	8
TRINITY_DN3503_c0_g1	pink	9
TRINITY_DN9981_c0_g1	purple	10
TRINITY_DN3096_c0_g1	red	11
TRINITY_DN235_c0_g2	salmon	12
TRINITY_DN57_c0_g1	tan	13
TRINITY_DN3289_c1_g1	turquoise	14
TRINITY_DN4624_c0_g1	yellow	15
