"stratum"	"n"	"pct"	"module"
"129"	"Formicidae"	1	5.47765118317266e-05	32
"130"	"Hymenoptera"	12	0.000657318141980719	32
"131"	"Myrmicinae"	1	5.47765118317266e-05	32
"132"	"older"	387	0.0211985100788782	32
"133"	"species-specific"	41	0.00224583698510079	32
"134"	"older"	19	0.0010407537248028	33
"135"	"species-specific"	13	0.000712094653812445	33
"136"	"older"	21	0.00115030674846626	34
"137"	"species-specific"	7	0.000383435582822086	34
"138"	"Formicidae"	3	0.00016432953549518	35
"139"	"Hymenoptera"	6	0.000328659070990359	35
"140"	"older"	198	0.0108457493426819	35
"141"	"species-specific"	26	0.00142418930762489	35
"142"	"Hymenoptera"	2	0.000109553023663453	36
"143"	"older"	52	0.00284837861524978	36
"144"	"species-specific"	6	0.000328659070990359	36
"145"	"Formicidae"	1	5.47765118317266e-05	37
"146"	"older"	16	0.000876424189307625	37
"147"	"species-specific"	7	0.000383435582822086	37
"148"	"older"	9	0.000492988606485539	38
"149"	"species-specific"	3	0.00016432953549518	38
"150"	"Formicidae"	1	5.47765118317266e-05	39
"151"	"Hymenoptera"	1	5.47765118317266e-05	39
"152"	"older"	43	0.00235539000876424	39
"153"	"species-specific"	6	0.000328659070990359	39
"154"	"Formicidae"	2	0.000109553023663453	40
"155"	"Hymenoptera"	3	0.00016432953549518	40
"156"	"older"	53	0.00290315512708151	40
"157"	"species-specific"	22	0.00120508326029798	40
"158"	"Formicidae"	32	0.00175284837861525	41
"159"	"Hymenoptera"	45	0.00246494303242769	41
"160"	"Myrmicinae"	19	0.0010407537248028	41
"161"	"older"	1095	0.0599802804557406	41
"162"	"species-specific"	273	0.0149539877300614	41
"163"	"Formicidae"	2	0.000109553023663453	42
"164"	"older"	14	0.000766871165644172	42
"165"	"species-specific"	5	0.000273882559158633	42
"166"	"Formicidae"	1	5.47765118317266e-05	43
"167"	"Hymenoptera"	1	5.47765118317266e-05	43
"168"	"older"	23	0.00125985977212971	43
"169"	"species-specific"	6	0.000328659070990359	43
"170"	"Formicidae"	6	0.000328659070990359	44
"171"	"Hymenoptera"	12	0.000657318141980719	44
"172"	"Myrmicinae"	1	5.47765118317266e-05	44
"173"	"older"	98	0.0053680981595092	44
"174"	"species-specific"	22	0.00120508326029798	44
"175"	"Formicidae"	2	0.000109553023663453	45
"176"	"Hymenoptera"	1	5.47765118317266e-05	45
"177"	"older"	18	0.000985977212971078	45
"178"	"species-specific"	1	5.47765118317266e-05	45
