GO.ID	test
GO:0007367	0.0029
GO:0008406	0.0057
GO:0007308	0.0065
GO:0018209	0.0115
GO:0001708	0.0115
GO:0055085	0.0133
GO:0035225	0.0246
GO:0030727	0.0246
GO:0035309	0.0246
GO:0046058	0.0246
GO:0016199	0.0246
GO:0009954	0.0246
GO:0007294	0.0246
GO:1903830	0.0246
GO:0001742	0.0246
GO:2000134	0.0246
GO:0007530	0.0246
GO:0007482	0.0246
GO:0045572	0.0246
GO:0016540	0.0246
GO:0031114	0.0246
GO:0008069	0.0246
GO:0035277	0.0246
GO:0043066	0.0317
GO:0008355	0.0326
GO:0051781	0.0326
GO:0048790	0.0326
GO:0007390	0.0326
GO:0051091	0.0326
GO:0002028	0.0326
GO:0018990	0.0326
GO:0048149	0.0326
GO:0045478	0.0326
GO:0008643	0.0334
GO:0035335	0.0352
GO:0050810	0.0406
GO:0045197	0.0406
GO:0046843	0.0406
GO:0017085	0.0406
GO:0006123	0.0406
GO:0070374	0.0406
GO:0060612	0.0406
GO:1903036	0.0406
GO:0006369	0.0406
GO:0090162	0.0406
GO:0016318	0.0406
GO:0035149	0.0406
GO:0018345	0.0486
GO:0007020	0.0486
GO:0008586	0.0486
GO:0001649	0.0486
GO:0060294	0.0486
GO:0007443	0.0486
GO:0035332	0.0486
GO:0023052	0.0498
