GO.ID	test
GO:1902743	0.0017
GO:0007049	0.0020
GO:1904356	0.0021
GO:0031047	0.0022
GO:0045943	0.0061
GO:0000056	0.0061
GO:0000737	0.0061
GO:0032508	0.0065
GO:0006457	0.0093
GO:0006338	0.0095
GO:0001510	0.0109
GO:0006360	0.0117
GO:0051972	0.0119
GO:0018990	0.0119
GO:0008592	0.0119
GO:0034660	0.0183
GO:2001234	0.0192
GO:0009452	0.0192
GO:0001889	0.0192
GO:0006383	0.0195
GO:0090501	0.0227
GO:0010467	0.0230
GO:0051053	0.0278
GO:1902692	0.0279
GO:0007020	0.0279
GO:0006266	0.0279
GO:0006367	0.0290
GO:0032386	0.0345
GO:0043010	0.0345
GO:0010976	0.0345
GO:0051568	0.0379
GO:0032786	0.0379
GO:0006260	0.0385
GO:0032543	0.0405
GO:0070897	0.0490
