GO.ID	test
GO:0007411	0.00010
GO:0007268	0.00077
GO:0018108	0.00086
GO:0050794	0.00144
GO:0065008	0.00178
GO:0006836	0.00186
GO:0006812	0.00186
GO:0007613	0.00187
GO:0045926	0.00188
GO:0008045	0.00245
GO:0006906	0.00245
GO:0019722	0.00245
GO:0017156	0.00313
GO:0042493	0.00325
GO:0097164	0.00347
GO:0098609	0.00437
GO:0042136	0.00582
GO:0009628	0.00591
GO:0009190	0.00695
GO:0055085	0.00746
GO:0007169	0.00867
GO:0050808	0.00949
GO:0045216	0.00956
GO:0048640	0.01106
GO:0006355	0.01129
GO:0051129	0.01165
GO:1903506	0.01176
GO:2001141	0.01176
GO:0065009	0.01208
GO:0016311	0.01216
GO:0034220	0.01264
GO:0050790	0.01293
GO:0007528	0.01307
GO:0048523	0.01408
GO:0071214	0.01443
GO:0104004	0.01443
GO:0030001	0.01563
GO:0015850	0.01631
GO:0050954	0.01631
GO:0001894	0.01631
GO:0006811	0.01632
GO:0043269	0.01824
GO:1901700	0.01850
GO:0048871	0.02047
GO:0044092	0.02199
GO:0032465	0.02217
GO:0051964	0.02217
GO:1901184	0.02217
GO:0008543	0.02217
GO:0044344	0.02217
GO:0045886	0.02217
GO:0071774	0.02217
GO:0036293	0.02217
GO:0001666	0.02217
GO:0042058	0.02217
GO:1904397	0.02217
GO:0070482	0.02217
GO:1905809	0.02217
GO:0032870	0.02285
GO:0051252	0.02410
GO:0007166	0.02442
GO:0051961	0.02516
GO:0000122	0.02516
GO:1904396	0.02516
GO:0006874	0.02516
GO:0070887	0.02570
GO:0051093	0.02629
GO:0009612	0.02668
GO:0042446	0.02668
GO:0140029	0.02668
GO:0098655	0.02729
GO:0006875	0.02811
GO:0050801	0.02887
GO:0055074	0.03038
GO:0007269	0.03152
GO:0051302	0.03152
GO:0051017	0.03152
GO:0034765	0.03318
GO:0006351	0.03321
GO:0051171	0.03426
GO:0006470	0.03526
GO:0097659	0.03542
GO:0019219	0.03599
GO:0072503	0.03612
GO:0034762	0.03612
GO:0030003	0.03616
GO:0006873	0.03616
GO:0007173	0.03669
GO:0038127	0.03669
GO:0061572	0.03669
GO:2000112	0.03775
GO:0048638	0.03836
GO:1901701	0.03836
GO:0010556	0.03895
GO:1901699	0.03918
GO:0015672	0.03933
GO:0051049	0.03933
GO:0042325	0.04058
GO:0019725	0.04058
GO:0032774	0.04208
GO:0051225	0.04215
GO:0008286	0.04215
GO:0017157	0.04215
GO:0015696	0.04215
GO:0072507	0.04238
GO:0080090	0.04276
GO:0007155	0.04366
GO:0022610	0.04366
GO:0071495	0.04439
GO:0006468	0.04457
GO:0009725	0.04541
GO:0051235	0.04570
GO:0006865	0.04570
GO:0010876	0.04637
GO:0031326	0.04678
GO:0097480	0.04789
GO:0048489	0.04789
GO:0048663	0.04789
GO:0055082	0.04791
GO:0006816	0.04914
