GO.ID	test
GO:1902600	0.00014
GO:0006222	0.00117
GO:0000972	0.00470
GO:0070593	0.00470
GO:0006814	0.00546
GO:0015914	0.00833
GO:0009311	0.00909
GO:0034394	0.00916
GO:0003014	0.00916
GO:0035148	0.01078
GO:0006820	0.01178
GO:0008643	0.01219
GO:0030149	0.01486
GO:0090224	0.01486
GO:1901617	0.02101
GO:0006207	0.02170
GO:0051647	0.02170
GO:0006891	0.02958
GO:0051495	0.03419
GO:1902115	0.03841
GO:0019991	0.03841
GO:0030866	0.04776
GO:0051302	0.04776
GO:0051180	0.04810
GO:1902358	0.04810
GO:0007314	0.04810
GO:1903829	0.04810
