GO.ID	Significant	test
GO:0007635	2	0.0056
GO:0030534	2	0.0151
GO:0007059	2	0.0161
GO:0009057	3	0.0216
GO:1901072	1	0.0231
GO:0046348	1	0.0231
GO:0031058	1	0.0246
GO:0050916	1	0.0246
GO:0043277	1	0.0246
GO:0043967	1	0.0246
GO:0050912	1	0.0261
GO:0007424	2	0.0271
GO:0040013	1	0.0277
GO:0016575	1	0.0277
GO:0007160	1	0.0277
GO:0000466	1	0.0277
GO:0000469	1	0.0277
GO:0031060	1	0.0277
GO:0051260	1	0.0292
GO:0090503	1	0.0292
GO:0006476	1	0.0292
GO:0060541	2	0.0301
GO:0006026	1	0.0322
GO:0043486	1	0.0322
GO:0007584	1	0.0322
GO:0035601	1	0.0337
GO:0051607	1	0.0337
GO:0033627	1	0.0352
GO:0000460	1	0.0352
GO:0098732	1	0.0352
GO:0034285	1	0.0367
GO:0051705	1	0.0367
GO:0043628	1	0.0367
GO:0016073	1	0.0382
GO:0009615	1	0.0382
GO:0016339	1	0.0397
GO:0007614	1	0.0397
GO:1901264	1	0.0397
GO:0007157	1	0.0397
GO:0031589	1	0.0427
GO:1905269	1	0.0442
GO:0009743	1	0.0472
GO:0032259	2	0.0485
GO:0006030	1	0.0487
GO:0043632	2	0.0496
