GO.ID	Significant	test
GO:0007157	2	0.0024
GO:0090304	11	0.0172
GO:0034654	8	0.0194
GO:0009987	20	0.0238
GO:0071897	3	0.0243
GO:0018130	8	0.0248
GO:0019438	8	0.0249
GO:1901362	8	0.0286
GO:0006313	2	0.0392
GO:0006139	11	0.0411
GO:0048521	1	0.0416
GO:0006140	1	0.0416
GO:0010002	1	0.0416
GO:0016360	1	0.0416
GO:0035168	1	0.0416
GO:0016348	1	0.0416
GO:0048056	1	0.0416
GO:0060582	1	0.0416
GO:0007162	1	0.0416
GO:0007413	1	0.0443
GO:0007449	1	0.0443
GO:0050916	1	0.0443
GO:0120031	2	0.0451
GO:0009058	10	0.0452
GO:0032196	2	0.0458
GO:1901992	1	0.0470
GO:0006109	1	0.0470
GO:0043467	1	0.0470
GO:0106030	1	0.0470
GO:0035162	1	0.0470
GO:0035153	1	0.0470
GO:0050912	1	0.0470
GO:0008052	1	0.0470
GO:0002164	2	0.0478
GO:0046483	11	0.0488
GO:0046331	1	0.0497
GO:0007519	1	0.0497
GO:0007400	1	0.0497
GO:0042675	1	0.0497
