GO.ID	Significant	test
GO:0010160	5	0.00025
GO:0016199	4	0.00029
GO:0030177	5	0.00034
GO:0040008	14	0.00041
GO:0007268	13	0.00042
GO:0046777	5	0.00044
GO:0051124	9	0.00046
GO:0007616	6	0.00057
GO:1901880	3	0.00059
GO:0035222	6	0.00062
GO:0070507	5	0.00080
GO:0048311	3	0.00080
GO:0043954	4	0.00088
GO:0022416	6	0.00095
GO:0007422	6	0.00095
GO:0007019	3	0.00105
GO:0009649	3	0.00135
GO:0048749	18	0.00137
GO:0006338	6	0.00175
GO:0034332	4	0.00202
GO:0046530	11	0.00241
GO:0099518	3	0.00255
GO:0007411	15	0.00258
GO:0006342	6	0.00279
GO:0070828	4	0.00318
GO:0008586	4	0.00318
GO:0035335	4	0.00353
GO:1902904	3	0.00362
GO:0030718	5	0.00371
GO:0098722	5	0.00382
GO:0007317	3	0.00424
GO:0061013	3	0.00424
GO:0043966	3	0.00424
GO:0009266	6	0.00501
GO:0032147	4	0.00619
GO:0016476	3	0.00649
GO:0035330	4	0.00731
GO:0051494	3	0.00737
GO:0007294	3	0.00737
GO:0030010	4	0.00992
