GO.ID	test
GO:0030003	0.00028
GO:0000041	0.00037
GO:0042455	0.00114
GO:0055076	0.00133
GO:0006814	0.00195
GO:0120192	0.00348
GO:0009218	0.00348
GO:0046131	0.00348
GO:0032880	0.00399
GO:0008643	0.00517
GO:0005975	0.00586
GO:0006820	0.00667
GO:0043297	0.00772
GO:0046578	0.00959
GO:0055067	0.00959
GO:0008038	0.01170
GO:0006221	0.01406
GO:1902600	0.01558
GO:0055072	0.01667
GO:0033674	0.01744
GO:0046916	0.01953
GO:1903827	0.01953
GO:0098655	0.01969
GO:0070838	0.02106
GO:0006875	0.02106
GO:0072511	0.02106
GO:0008037	0.02265
GO:0072528	0.02265
GO:0010720	0.02384
GO:0045597	0.02880
GO:0045860	0.02964
GO:0090087	0.02964
GO:0045666	0.03764
GO:0036293	0.04025
GO:0001666	0.04025
GO:0034219	0.04025
GO:0070482	0.04025
GO:2000243	0.04025
GO:0043900	0.04201
GO:0098660	0.04202
GO:0051347	0.04370
GO:0006643	0.04538
GO:0030148	0.04663
GO:0002790	0.04663
GO:0050769	0.04663
GO:0030856	0.04816
GO:0006672	0.04816
GO:0035265	0.04816
GO:0044403	0.04816
GO:0046112	0.04816
GO:0051640	0.04836
