GO.ID	test
GO:0016310	0.0015
GO:0009168	0.0015
GO:0006144	0.0028
GO:0009081	0.0028
GO:0071900	0.0033
GO:0046112	0.0038
GO:0006469	0.0038
GO:0009067	0.0049
GO:0009069	0.0049
GO:0009152	0.0050
GO:0009072	0.0063
GO:0014070	0.0063
GO:0055086	0.0075
GO:0043547	0.0096
GO:0017144	0.0112
GO:0010976	0.0115
GO:0032870	0.0122
GO:0042391	0.0122
GO:0008652	0.0131
GO:0046394	0.0156
GO:0006417	0.0158
GO:0072522	0.0164
GO:0016053	0.0166
GO:0031175	0.0172
GO:0032535	0.0177
GO:0048666	0.0184
GO:0051259	0.0186
GO:0009116	0.0187
GO:0031346	0.0214
GO:0034248	0.0215
GO:1901657	0.0227
GO:0010975	0.0227
GO:0048699	0.0236
GO:0040017	0.0245
GO:0040011	0.0249
GO:0016042	0.0267
GO:0051962	0.0271
GO:0009725	0.0285
GO:0042330	0.0288
GO:0071804	0.0295
GO:0071805	0.0295
GO:0009112	0.0299
GO:0051272	0.0312
GO:0045666	0.0312
GO:0110053	0.0320
GO:0030182	0.0322
GO:0007411	0.0347
GO:0008582	0.0348
GO:0051965	0.0351
GO:0006555	0.0351
GO:0000079	0.0351
GO:0030042	0.0351
GO:0030834	0.0351
GO:0032509	0.0351
GO:1904398	0.0351
GO:1904029	0.0351
GO:0051960	0.0357
GO:0097485	0.0369
GO:0071495	0.0376
GO:0044248	0.0382
GO:0051963	0.0387
GO:0050769	0.0387
GO:0032268	0.0389
GO:1901575	0.0390
GO:0031344	0.0404
GO:0120035	0.0404
GO:0006935	0.0415
GO:0090066	0.0415
GO:0007405	0.0421
GO:0006767	0.0421
GO:0071407	0.0421
GO:0071985	0.0421
GO:0090503	0.0421
GO:0015718	0.0428
GO:1902903	0.0434
GO:0009056	0.0440
GO:0065008	0.0452
GO:0044087	0.0458
GO:0044089	0.0465
GO:1904396	0.0472
GO:0046148	0.0472
GO:0030030	0.0478
GO:0022008	0.0479
GO:0008045	0.0495
GO:0043648	0.0495
GO:0005977	0.0495
GO:0050920	0.0495
GO:1902667	0.0495
GO:0006641	0.0495
GO:0006766	0.0495
GO:0042558	0.0495
GO:1901879	0.0495
GO:0006813	0.0498
