GO.ID	Significant	test
GO:0016567	32	0.00016
GO:0007391	20	0.00031
GO:0045893	46	0.00038
GO:0033500	12	0.00096
GO:0051171	180	0.00110
GO:0008582	20	0.00158
GO:0007629	6	0.00159
GO:0051094	30	0.00165
GO:0051961	20	0.00178
GO:0050767	31	0.00178
GO:0009408	12	0.00182
GO:0007424	28	0.00198
GO:0033993	14	0.00203
GO:0016310	84	0.00209
GO:0009996	7	0.00223
GO:0110053	14	0.00276
GO:0030097	14	0.00276
GO:0080090	180	0.00288
GO:0048803	7	0.00302
GO:0048666	76	0.00304
GO:0007411	35	0.00306
GO:0010591	6	0.00335
GO:0043085	34	0.00365
GO:0030036	42	0.00368
GO:0007389	52	0.00371
GO:0006357	67	0.00371
GO:0035215	14	0.00382
GO:0007494	9	0.00405
GO:0051017	8	0.00416
GO:0010468	142	0.00420
GO:0051046	14	0.00423
GO:0040013	6	0.00463
GO:0016570	25	0.00484
GO:0042058	11	0.00484
GO:0046843	9	0.00496
GO:0002759	9	0.00496
GO:0010669	7	0.00519
GO:0007300	8	0.00522
GO:0010556	131	0.00524
GO:2000113	42	0.00539
GO:0022603	33	0.00575
GO:0042067	12	0.00576
GO:0006351	120	0.00607
GO:1903507	38	0.00648
GO:1901700	35	0.00650
GO:0031328	62	0.00751
GO:0006836	18	0.00757
GO:0008340	19	0.00768
GO:0043405	8	0.00793
GO:0010506	14	0.00806
GO:0051146	17	0.00821
GO:0120034	6	0.00822
GO:0007476	32	0.00836
GO:0032270	35	0.00890
GO:0060562	59	0.00906
GO:0042593	8	0.00963
GO:0071711	5	0.00970
GO:0046173	5	0.00970
GO:0050768	12	0.01004
GO:0010629	53	0.01010
GO:0051252	125	0.01060
GO:0031331	15	0.01064
GO:0045944	29	0.01075
GO:0051649	72	0.01085
GO:0045892	36	0.01143
GO:0048639	14	0.01144
GO:0002784	8	0.01159
GO:0002700	8	0.01159
GO:0071310	35	0.01200
GO:0010975	16	0.01209
GO:0035725	10	0.01214
GO:0050803	31	0.01215
GO:0060627	19	0.01217
GO:0007526	7	0.01276
GO:0010259	22	0.01278
GO:0022604	21	0.01285
GO:0016358	21	0.01285
GO:0000209	12	0.01295
GO:0007303	5	0.01304
GO:0007475	5	0.01304
GO:0098739	5	0.01304
GO:0007562	5	0.01304
GO:0070887	47	0.01337
GO:0045465	6	0.01346
GO:0048646	54	0.01356
GO:0061844	8	0.01382
GO:0002440	8	0.01382
GO:0002775	8	0.01382
GO:0120039	58	0.01409
GO:0048858	58	0.01409
GO:0030154	173	0.01434
GO:0009896	16	0.01471
GO:0000904	61	0.01508
GO:0003002	46	0.01551
GO:0006468	54	0.01572
GO:0030855	45	0.01575
GO:0051347	15	0.01608
GO:0031323	186	0.01609
GO:0001752	9	0.01646
GO:0007229	6	0.01680
GO:0071684	6	0.01680
GO:0033627	6	0.01680
GO:0051491	5	0.01707
GO:0040034	5	0.01707
GO:0034248	19	0.01708
GO:0031175	61	0.01718
GO:0051240	27	0.01731
GO:0016482	11	0.01749
GO:0035218	14	0.01754
GO:0009719	28	0.01764
