GO.ID	Significant	test
GO:0019827	11	0.00010
GO:0048749	35	0.00012
GO:0003002	34	0.00015
GO:0007411	23	0.00028
GO:0007475	5	0.00028
GO:0048584	30	0.00030
GO:0046843	7	0.00043
GO:0007517	11	0.00057
GO:0042051	10	0.00082
GO:0042659	6	0.00095
GO:0048813	13	0.00106
GO:0031532	5	0.00111
GO:0046580	5	0.00111
GO:0042127	16	0.00120
GO:0043506	4	0.00128
GO:0061572	6	0.00136
GO:0051493	14	0.00181
GO:0042060	8	0.00182
GO:0010004	5	0.00255
GO:0007419	6	0.00256
GO:0001666	7	0.00321
GO:0007298	11	0.00368
GO:0035147	4	0.00375
GO:0007426	4	0.00375
GO:0040003	8	0.00398
GO:0031589	5	0.00429
GO:0031098	10	0.00445
GO:0009966	56	0.00506
GO:0032147	6	0.00565
GO:1905954	3	0.00592
GO:0032368	3	0.00592
GO:0035152	8	0.00598
GO:0001752	6	0.00636
GO:0008344	8	0.00652
GO:0045807	5	0.00673
GO:0007166	53	0.00726
GO:0007482	3	0.00791
GO:0007479	3	0.00791
GO:0090288	4	0.00833
GO:0007379	4	0.00833
GO:0032388	4	0.00833
GO:0050953	5	0.00882
GO:0035222	7	0.00888
GO:0032102	4	0.00987
GO:0002805	4	0.00987
