GO.ID	test
GO:0008360	0.00021
GO:0097659	0.00030
GO:0010468	0.00032
GO:0032012	0.00040
GO:0048790	0.00040
GO:2000112	0.00137
GO:0050919	0.00185
GO:0035332	0.00185
GO:0061564	0.00262
GO:0007498	0.00310
GO:0007629	0.00313
GO:0008589	0.00329
GO:0007219	0.00366
GO:0048667	0.00384
GO:0030036	0.00421
GO:0003002	0.00498
GO:0016567	0.00598
GO:0007268	0.00599
GO:0035335	0.00605
GO:1903312	0.00641
GO:0007448	0.00641
GO:0008291	0.00641
GO:0031114	0.00641
GO:0010171	0.00641
GO:0009065	0.00641
GO:0048542	0.00700
GO:0035120	0.00741
GO:0007417	0.00818
GO:0007155	0.00827
GO:0048511	0.00855
GO:0035114	0.00923
GO:0035162	0.01242
GO:0051896	0.01242
GO:0007485	0.01242
GO:0006560	0.01242
GO:0090175	0.01242
GO:0043489	0.01242
GO:0038063	0.01242
GO:0042659	0.01242
GO:1903706	0.01242
GO:0051283	0.01242
GO:0042110	0.01242
GO:0030239	0.01650
GO:0007291	0.01650
GO:0007517	0.01791
GO:0035821	0.01791
GO:0035556	0.01951
GO:0046530	0.01966
GO:0046843	0.02006
GO:0006536	0.02006
GO:0072583	0.02006
GO:0060402	0.02006
GO:0016579	0.02014
GO:0016573	0.02817
GO:0018210	0.02916
GO:0045570	0.02916
GO:0030336	0.02916
GO:0045451	0.02916
GO:0030865	0.03076
GO:0030431	0.03076
GO:0001751	0.03578
GO:0008037	0.03626
GO:0060560	0.03641
GO:0010507	0.03957
GO:0006491	0.03957
GO:0048015	0.03957
GO:0000245	0.03957
GO:1903818	0.03957
GO:0006814	0.04165
GO:0006413	0.04225
GO:0050768	0.04290
GO:0006887	0.04640
GO:0030038	0.04688
GO:0060074	0.04688
