GO.ID	Significant	test
GO:0006397	44	0.00024
GO:0050808	51	0.00026
GO:0070868	9	0.00030
GO:0046627	8	0.00031
GO:1900073	10	0.00040
GO:0007613	23	0.00044
GO:0016322	14	0.00051
GO:0035556	91	0.00054
GO:0010468	187	0.00056
GO:0051298	13	0.00066
GO:0031056	12	0.00067
GO:0045448	10	0.00080
GO:0048675	14	0.00103
GO:0007269	22	0.00110
GO:0006281	43	0.00125
GO:0033301	7	0.00126
GO:0099518	7	0.00126
GO:0048489	17	0.00136
GO:0051276	102	0.00183
GO:0035194	12	0.00185
GO:0019935	9	0.00189
GO:0007099	7	0.00193
GO:0048488	11	0.00247
GO:1903429	10	0.00256
GO:0046928	7	0.00285
GO:0000466	7	0.00285
GO:0019094	12	0.00288
GO:0032508	15	0.00300
GO:0045132	11	0.00312
GO:0099504	25	0.00317
GO:0017156	13	0.00320
GO:0008283	47	0.00357
GO:0006338	17	0.00366
GO:0051568	7	0.00406
GO:0045475	14	0.00408
GO:0007131	8	0.00439
GO:0051640	43	0.00470
GO:0050794	427	0.00482
GO:0018107	6	0.00487
GO:0030178	10	0.00528
GO:0007281	91	0.00538
GO:0042273	15	0.00561
GO:0000470	7	0.00563
GO:0045433	7	0.00563
GO:0006354	9	0.00564
GO:0016070	242	0.00602
GO:0008380	34	0.00621
GO:0007298	21	0.00629
GO:0032196	24	0.00662
GO:2000026	75	0.00692
GO:0051924	6	0.00704
GO:0007143	9	0.00714
GO:0031935	8	0.00755
GO:0030010	12	0.00759
GO:1902115	7	0.00762
GO:0072384	7	0.00762
GO:0031503	16	0.00764
GO:0051252	152	0.00790
GO:0045892	54	0.00848
GO:0008582	21	0.00883
GO:0043269	20	0.00931
GO:0051129	26	0.00947
GO:0017157	8	0.00966
GO:0019722	8	0.00966
GO:0018205	27	0.00982
GO:0034333	6	0.00983
GO:0045467	6	0.00983
GO:0007204	6	0.00983
GO:0051091	6	0.00983
GO:0016246	7	0.01007
GO:0048232	34	0.01084
GO:0043044	9	0.01104
GO:0007617	22	0.01123
GO:0031023	21	0.01136
GO:0000070	16	0.01138
GO:0019098	24	0.01166
GO:0000398	29	0.01172
GO:0051304	10	0.01189
GO:0007098	20	0.01225
GO:1903311	16	0.01290
GO:0007294	7	0.01305
GO:0010501	7	0.01305
GO:0051726	41	0.01328
GO:2000756	6	0.01332
GO:0040013	6	0.01332
GO:0035065	6	0.01332
GO:1901983	6	0.01332
GO:0031060	6	0.01332
GO:0007315	16	0.01386
GO:0051656	36	0.01411
GO:0045451	10	0.01424
GO:0050684	13	0.01432
GO:0016079	11	0.01455
GO:0030716	8	0.01514
GO:0007416	32	0.01582
GO:0040012	16	0.01643
GO:0007187	7	0.01662
GO:0009187	7	0.01662
GO:0007028	17	0.01672
GO:0000956	12	0.01688
GO:0032886	11	0.01706
GO:0034968	13	0.01712
GO:0010608	31	0.01731
GO:0000375	29	0.01747
GO:0000377	29	0.01747
GO:0051960	51	0.01756
GO:1904580	6	0.01759
GO:0007317	6	0.01759
GO:0060281	6	0.01759
GO:0032784	6	0.01759
GO:0000184	6	0.01759
GO:0016071	58	0.01934
GO:0000819	17	0.01941
GO:0070588	12	0.01947
GO:0035335	9	0.01961
GO:0001745	42	0.01988
GO:0070507	10	0.01997
GO:0006368	7	0.02082
GO:0006814	13	0.02150
GO:0043933	72	0.02214
GO:0060179	18	0.02216
GO:0045664	26	0.02226
GO:0042493	25	0.02229
GO:0048749	50	0.02235
GO:0050767	32	0.02269
GO:0040001	6	0.02271
GO:0048134	6	0.02271
GO:0009451	16	0.02306
GO:0070988	5	0.02353
GO:0010977	5	0.02353
GO:0098693	5	0.02353
GO:0070897	5	0.02353
GO:0034243	5	0.02353
GO:1903305	5	0.02353
GO:0051246	79	0.02439
GO:0048592	44	0.02445
GO:0006417	18	0.02470
GO:0045595	52	0.02526
GO:0006935	39	0.02562
GO:0007614	7	0.02571
GO:0030706	7	0.02571
GO:0090090	7	0.02571
GO:0090596	44	0.02596
GO:0097485	38	0.02619
GO:0042461	21	0.02637
GO:0018209	10	0.02723
GO:0007059	28	0.02735
GO:0060341	25	0.02838
GO:0048609	131	0.02838
GO:0007411	37	0.02842
GO:0007618	22	0.02919
GO:0042462	19	0.03000
GO:0007314	19	0.03005
GO:0031326	156	0.03009
GO:0010959	11	0.03042
GO:0000132	5	0.03102
GO:0000288	7	0.03133
GO:0048167	7	0.03133
GO:0045786	16	0.03153
GO:0048880	54	0.03202
GO:0070192	8	0.03227
GO:0032879	76	0.03298
GO:0061564	53	0.03310
GO:0006313	20	0.03336
GO:0048518	154	0.03391
GO:0001754	28	0.03444
GO:0016319	11	0.03463
GO:0007351	24	0.03501
GO:0035195	6	0.03575
GO:1902875	6	0.03575
GO:0007188	6	0.03575
GO:0099174	6	0.03575
GO:1903047	39	0.03599
GO:0008285	14	0.03638
GO:0001654	53	0.03639
GO:0099643	24	0.03641
GO:0016571	14	0.03668
GO:0009948	25	0.03670
GO:0097479	19	0.03678
GO:0007616	12	0.03709
GO:0098534	9	0.03715
GO:0098916	53	0.03733
GO:0097190	9	0.03741
GO:0030490	9	0.03741
GO:0048522	137	0.03755
GO:0150063	53	0.03819
GO:0006323	16	0.03833
GO:0010556	152	0.03891
GO:0009889	156	0.03893
GO:2000112	151	0.03920
GO:0031345	5	0.03985
GO:0019933	5	0.03985
GO:0099537	53	0.04000
GO:0007528	32	0.04145
GO:0006396	82	0.04157
GO:0032268	73	0.04160
GO:0018022	13	0.04269
GO:0099536	53	0.04280
GO:0033044	30	0.04289
GO:0006403	31	0.04312
GO:0008358	19	0.04314
GO:0006402	13	0.04341
GO:0099172	8	0.04447
GO:0072089	14	0.04469
GO:1905269	7	0.04490
GO:0007619	17	0.04548
GO:0044087	49	0.04568
GO:0140014	20	0.04616
GO:0014070	17	0.04643
GO:0043085	35	0.04705
GO:0016569	35	0.04876
GO:0007186	26	0.04879
GO:0044093	43	0.04911
GO:0007293	14	0.04930
GO:0051028	9	0.04949
GO:0071426	9	0.04949
GO:0071166	9	0.04949
GO:1901699	20	0.04951
GO:0007140	11	0.04984
