GO.ID	Significant	test
GO:0046916	6	0.00010
GO:0008643	7	0.00016
GO:1902600	7	0.00035
GO:0035148	5	0.00096
GO:0002791	5	0.00116
GO:0003014	4	0.00132
GO:0000041	5	0.00194
GO:0099131	4	0.00261
GO:0099132	4	0.00261
GO:0009311	4	0.00383
GO:0055072	4	0.00383
GO:0055085	38	0.00400
GO:0070838	8	0.00456
GO:0051646	4	0.00457
GO:0001666	6	0.00467
GO:0051235	8	0.00490
GO:0019991	5	0.00515
GO:0023061	9	0.00517
GO:0051453	4	0.00539
GO:0006855	4	0.00631
GO:0015711	10	0.00844
GO:0098656	9	0.00990
GO:1905881	3	0.01075
GO:0006643	6	0.01134
GO:0006814	6	0.01225
GO:0035151	5	0.01451
GO:0009100	8	0.01523
GO:0015698	5	0.01583
GO:0006836	8	0.01695
GO:0051051	4	0.01755
GO:0046883	3	0.01798
GO:0046879	3	0.01798
GO:0009914	3	0.02086
GO:0006835	3	0.02086
GO:2000243	3	0.02086
GO:1901137	14	0.02252
GO:0035152	6	0.02291
GO:0035150	5	0.02363
GO:0035159	4	0.02375
GO:0010632	3	0.02398
GO:1905039	5	0.02544
GO:1903825	5	0.02544
GO:0008037	7	0.02616
GO:0006493	3	0.02734
GO:0007269	6	0.02753
GO:1905879	4	0.02853
GO:0009247	3	0.03094
GO:0042742	6	0.03272
GO:0099643	6	0.03272
GO:0032879	23	0.03370
GO:2000647	3	0.03477
GO:0043902	4	0.03670
GO:1901135	20	0.03737
GO:0001505	8	0.03769
GO:0006486	6	0.04059
GO:0007424	10	0.04166
GO:0043413	6	0.04272
GO:0030048	3	0.04313
GO:0010883	3	0.04313
GO:0098662	16	0.04672
