GO.ID	Significant	test
GO:0001752	9	0.00012
GO:0046578	11	0.00014
GO:0008587	9	0.00020
GO:0045466	9	0.00028
GO:0006810	88	0.00039
GO:0048667	32	0.00045
GO:0008293	6	0.00060
GO:0009953	13	0.00097
GO:0051302	7	0.00107
GO:0007219	14	0.00157
GO:0007498	8	0.00205
GO:0045465	5	0.00274
GO:0010921	5	0.00274
GO:0000045	5	0.00274
GO:0051058	5	0.00274
GO:0048646	34	0.00292
GO:0090630	5	0.00337
GO:0016325	5	0.00337
GO:0010506	12	0.00354
GO:0048645	7	0.00357
GO:0045893	29	0.00378
GO:0035218	13	0.00390
GO:0008407	6	0.00405
GO:0010469	5	0.00409
GO:0036011	5	0.00409
GO:0045944	18	0.00445
GO:0008586	6	0.00471
GO:0007417	17	0.00481
GO:0042063	10	0.00489
GO:0043954	5	0.00493
GO:0048812	29	0.00576
GO:0010605	38	0.00604
GO:0045934	24	0.00617
GO:0008595	11	0.00638
GO:0007009	5	0.00695
GO:0070647	20	0.00699
GO:0003002	40	0.00763
GO:1905114	12	0.00773
GO:0051649	40	0.00778
GO:0008363	4	0.00802
GO:0010507	4	0.00802
GO:0007309	10	0.00925
GO:0007610	31	0.00925
GO:0007422	8	0.00934
GO:0110116	5	0.00948
GO:0007367	5	0.00948
GO:0048522	74	0.00952
GO:0008104	37	0.00963
GO:0048580	4	0.00979
GO:0007398	4	0.00979
GO:0042461	10	0.00995
GO:0071702	41	0.01092
GO:0007300	5	0.01096
GO:0035220	30	0.01164
GO:0051253	22	0.01186
GO:0035239	39	0.01195
GO:0035295	47	0.01202
GO:0055074	6	0.01301
GO:0060446	6	0.01301
GO:0007409	22	0.01328
GO:0007447	9	0.01343
GO:0043062	7	0.01354
GO:0006928	38	0.01357
GO:0046580	4	0.01407
GO:0009996	4	0.01407
GO:0009954	4	0.01407
GO:0016334	4	0.01407
GO:0072359	10	0.01411
GO:0008347	5	0.01437
GO:0016567	15	0.01441
GO:0046907	34	0.01445
GO:0016477	20	0.01485
GO:0032446	16	0.01503
GO:0061138	6	0.01610
GO:0048754	6	0.01610
GO:0010160	5	0.01632
GO:0046667	4	0.01659
GO:0045936	8	0.01682
GO:0010563	8	0.01682
GO:0006935	19	0.01727
GO:0061024	18	0.01758
GO:0001763	6	0.01782
GO:0044092	11	0.01824
GO:0010647	22	0.01837
GO:0023056	22	0.01837
GO:0035304	4	0.01937
GO:0000422	4	0.01937
GO:0010454	4	0.01937
GO:0035017	4	0.01937
GO:0046666	4	0.01937
GO:0071684	4	0.01937
GO:0009890	23	0.01939
GO:0001708	8	0.01958
GO:0050769	8	0.01958
GO:0007450	6	0.01967
GO:0009950	6	0.01967
GO:0046488	6	0.01967
GO:0002066	18	0.02009
GO:0061564	22	0.02037
GO:0062012	5	0.02073
GO:0007293	8	0.02107
GO:0035214	6	0.02164
GO:0007267	32	0.02182
GO:0048870	21	0.02211
GO:0051480	4	0.02243
GO:0046530	21	0.02306
GO:0007424	14	0.02315
GO:0009755	5	0.02319
GO:0006913	10	0.02330
GO:0051169	10	0.02330
GO:0042051	8	0.02430
GO:0051674	21	0.02449
GO:0045666	7	0.02463
GO:0016055	9	0.02484
GO:0070727	30	0.02493
GO:0065009	44	0.02536
GO:0045610	4	0.02576
GO:0061726	4	0.02576
GO:0051336	23	0.02580
GO:0006397	17	0.02627
GO:0007626	13	0.02687
GO:0002065	18	0.02719
GO:0045184	25	0.02776
GO:0006357	40	0.02821
GO:0007568	11	0.02826
GO:0030865	6	0.02834
GO:0034613	27	0.02840
GO:0071396	5	0.02867
GO:0060070	7	0.02869
GO:0060582	3	0.02897
GO:0016360	3	0.02897
GO:0016348	3	0.02897
GO:0048056	3	0.02897
GO:0072593	4	0.02938
GO:0006820	14	0.03012
GO:0009968	23	0.03026
GO:0048513	74	0.03054
GO:0007423	38	0.03120
GO:0030707	17	0.03167
GO:0007631	5	0.03170
GO:0042462	8	0.03177
GO:0010468	75	0.03192
GO:0008340	10	0.03260
GO:0031327	22	0.03302
GO:0038127	7	0.03318
GO:0007173	7	0.03318
GO:0031338	4	0.03328
GO:0048167	4	0.03328
GO:0051170	6	0.03350
GO:0072507	6	0.03350
GO:0050767	18	0.03385
GO:0032268	30	0.03397
GO:0048598	15	0.03433
GO:0007303	3	0.03447
GO:0007449	3	0.03447
GO:0007562	3	0.03447
GO:0040011	33	0.03477
GO:0045451	5	0.03491
GO:0006874	5	0.03491
GO:0060541	14	0.03555
GO:0010623	8	0.03604
GO:0035303	7	0.03704
GO:2000027	11	0.03741
GO:0048545	4	0.03746
GO:0043401	4	0.03746
GO:0071383	4	0.03746
GO:0010508	4	0.03746
GO:0045596	9	0.03755
GO:0010646	53	0.03778
GO:0007411	17	0.03785
GO:0010629	27	0.03811
GO:0048190	5	0.03833
GO:0030537	5	0.03833
GO:0051179	114	0.03969
GO:0048585	24	0.03983
GO:0015833	24	0.04025
GO:0043666	3	0.04047
GO:0035153	3	0.04047
GO:0045467	3	0.04047
GO:0048015	3	0.04047
GO:0008052	3	0.04047
GO:0023051	53	0.04105
GO:0006366	41	0.04165
GO:0016050	9	0.04187
GO:0198738	9	0.04187
GO:0060627	10	0.04212
GO:0045475	6	0.04230
GO:0043085	20	0.04233
GO:0000375	13	0.04320
GO:0000377	13	0.04320
GO:0001654	32	0.04417
GO:0010259	10	0.04423
GO:0016071	20	0.04440
GO:0007028	6	0.04553
GO:0009966	48	0.04560
GO:0150063	32	0.04561
GO:0009967	19	0.04564
GO:0007316	5	0.04574
GO:0019094	5	0.04574
GO:0097485	17	0.04637
GO:0098727	7	0.04638
GO:0019827	7	0.04638
GO:0042659	4	0.04671
GO:0050806	3	0.04696
GO:0097502	3	0.04696
GO:0046331	3	0.04696
GO:0048017	3	0.04696
GO:2001233	3	0.04696
GO:0042675	3	0.04696
GO:0042886	24	0.04728
GO:0007480	10	0.04764
GO:0048511	11	0.04778
GO:0051246	31	0.04868
GO:0045597	9	0.04896
GO:0043087	12	0.04972
GO:0048568	5	0.04974
GO:0030866	5	0.04974
