GO.ID	test
GO:0006355	0.0034
GO:0030522	0.0058
GO:0018209	0.0064
GO:0033043	0.0081
GO:0032535	0.0083
GO:0031032	0.0092
GO:0006470	0.0112
GO:0048522	0.0140
GO:0008361	0.0151
GO:0044087	0.0151
GO:0080135	0.0170
GO:0006357	0.0184
GO:0007416	0.0190
GO:0045944	0.0190
GO:0043408	0.0190
GO:0035335	0.0200
GO:0048518	0.0216
GO:0051962	0.0222
GO:1902531	0.0225
GO:0051130	0.0231
GO:0007528	0.0233
GO:0008154	0.0256
GO:0006366	0.0261
GO:0023014	0.0292
GO:0000165	0.0292
GO:1902680	0.0316
GO:1903508	0.0316
GO:0051301	0.0323
GO:0051604	0.0343
GO:0032956	0.0343
GO:0080090	0.0354
GO:0032970	0.0356
GO:0010564	0.0369
GO:0031323	0.0409
GO:0051254	0.0415
GO:0007169	0.0425
GO:0016311	0.0448
GO:0010638	0.0484
GO:0080134	0.0499
