GO.ID	test
GO:0061726	0.00020
GO:0006914	0.00050
GO:0007033	0.00063
GO:0070925	0.00171
GO:0071702	0.00215
GO:0071705	0.00244
GO:0045089	0.00519
GO:0071616	0.00519
GO:0016192	0.00624
GO:0033036	0.00703
GO:0006906	0.00750
GO:0007631	0.00880
GO:0035337	0.00880
GO:0006886	0.00993
GO:0140056	0.01167
GO:0007140	0.01167
GO:0022406	0.01167
GO:0048285	0.01225
GO:0006897	0.01331
GO:0009064	0.01491
GO:0050657	0.01506
GO:0050658	0.01506
GO:0051236	0.01506
GO:0022412	0.01620
GO:0006888	0.01848
GO:0048193	0.02181
GO:0040017	0.02237
GO:0032868	0.02237
GO:0032869	0.02237
GO:0098657	0.02313
GO:0009725	0.02514
GO:1901605	0.02630
GO:0006915	0.02634
GO:1901653	0.02657
GO:0010506	0.02657
GO:0051272	0.02657
GO:0071375	0.02657
GO:0006913	0.02750
GO:0051169	0.02750
GO:0007276	0.03053
GO:0043434	0.03106
GO:0006403	0.03125
GO:0051179	0.03311
GO:1901652	0.03341
GO:1901607	0.03341
GO:0048232	0.03389
GO:0008104	0.03402
GO:0006810	0.03411
GO:0055085	0.03461
GO:0140013	0.03583
GO:0001751	0.03583
GO:0016050	0.03623
GO:0012501	0.03648
GO:0051094	0.03665
GO:0022603	0.03665
GO:0015931	0.03807
GO:0071417	0.03832
GO:0051234	0.03982
GO:0007051	0.04087
GO:0051168	0.04087
GO:0008652	0.04087
GO:0001754	0.04348
GO:0008219	0.04396
GO:0001654	0.04404
GO:0150063	0.04560
GO:0019953	0.04719
GO:0044703	0.04719
GO:1901699	0.04888
GO:0048609	0.04911
