GO.ID	Significant	test
GO:0071456	3	0.0008
GO:0030178	3	0.0015
GO:0007613	4	0.0035
GO:0008582	4	0.0050
GO:0010629	8	0.0052
GO:0051254	7	0.0059
GO:0071805	3	0.0060
GO:0046928	2	0.0062
GO:0060828	3	0.0063
GO:0090304	26	0.0065
GO:0006355	12	0.0069
GO:0007274	3	0.0069
GO:0010557	7	0.0098
GO:0010628	7	0.0107
GO:0051253	6	0.0110
GO:1900073	2	0.0127
GO:0090090	2	0.0127
GO:0008258	2	0.0127
GO:0045893	6	0.0129
GO:0031328	7	0.0131
GO:0045934	6	0.0144
GO:0016070	20	0.0147
GO:0050805	2	0.0156
GO:1903508	6	0.0164
GO:1902680	6	0.0164
GO:0006401	3	0.0169
GO:0051051	2	0.0189
GO:0048523	14	0.0191
GO:0048512	3	0.0203
GO:0007622	3	0.0210
GO:0008039	2	0.0224
GO:0099177	5	0.0229
GO:0050804	5	0.0229
GO:0046777	2	0.0248
GO:0016477	5	0.0273
GO:0045892	5	0.0285
GO:0003002	6	0.0296
GO:0051704	11	0.0302
GO:0010468	18	0.0316
GO:1903507	5	0.0319
GO:1902679	5	0.0319
GO:0009953	3	0.0321
GO:0016441	2	0.0342
GO:0048645	2	0.0342
GO:0016079	2	0.0371
GO:0006313	3	0.0378
GO:0009950	2	0.0386
GO:0090502	2	0.0386
GO:0007389	6	0.0398
GO:0048870	5	0.0400
GO:0007292	7	0.0409
GO:0051674	5	0.0416
GO:0017156	2	0.0417
GO:0045055	2	0.0448
GO:0032196	3	0.0468
GO:0000956	2	0.0480
GO:2000113	5	0.0481
GO:0007623	3	0.0488
