GO.ID	test
GO:0007166	0.00022
GO:0001678	0.00059
GO:0009749	0.00122
GO:0007424	0.00144
GO:0016331	0.00171
GO:0008587	0.00207
GO:0009880	0.00339
GO:0048015	0.00349
GO:1903706	0.00449
GO:0007485	0.00449
GO:1901606	0.00467
GO:0006355	0.00552
GO:0001708	0.00635
GO:0010004	0.00639
GO:0042219	0.00639
GO:0046835	0.00639
GO:0009064	0.00644
GO:0030036	0.00665
GO:0007173	0.00854
GO:0007411	0.01002
GO:0031279	0.01033
GO:0051339	0.01033
GO:0043666	0.01033
GO:0090630	0.01033
GO:0008363	0.01053
GO:0008582	0.01055
GO:0001709	0.01207
GO:0072359	0.01394
GO:0007267	0.01488
GO:0048646	0.01561
GO:0046854	0.01609
GO:1904398	0.01609
GO:0051965	0.01609
GO:0048477	0.01627
GO:0010975	0.01633
GO:0006986	0.01663
GO:0045570	0.01903
GO:0007520	0.01903
GO:0035332	0.01903
GO:0050919	0.01903
GO:0030336	0.01903
GO:0051056	0.01949
GO:0022604	0.01988
GO:0045665	0.02318
GO:0009855	0.02318
GO:2000060	0.02863
GO:0010506	0.03018
GO:0046165	0.03018
GO:0006071	0.03069
GO:0006072	0.03069
GO:0007629	0.03069
GO:0016203	0.03069
GO:0048580	0.03069
GO:0048863	0.03183
GO:0043967	0.03186
GO:0070509	0.03186
GO:0046331	0.03186
GO:0042149	0.03186
GO:0032790	0.03186
GO:0045464	0.03186
GO:0009073	0.03186
GO:0007448	0.03186
GO:0007162	0.03186
GO:0043507	0.03186
GO:0042693	0.03186
GO:0071322	0.03186
GO:0006641	0.03189
GO:0043648	0.03189
GO:0016310	0.03246
GO:0000902	0.03343
GO:0071773	0.03626
GO:0007155	0.04161
GO:0043297	0.04227
GO:0040008	0.04356
GO:0009116	0.04503
GO:1905330	0.04527
GO:0008407	0.04527
