GO.ID	Significant	test
GO:0055088	6	0.00073
GO:0034440	4	0.00118
GO:0043161	11	0.00440
GO:0046883	3	0.00508
GO:0097502	3	0.00508
GO:0071702	26	0.00511
GO:0016192	21	0.00535
GO:0035011	3	0.00594
GO:0019915	4	0.00599
GO:0072657	6	0.00605
GO:1901800	4	0.00660
GO:0006643	5	0.00664
GO:0016197	6	0.00678
GO:0030433	3	0.00689
GO:0008654	5	0.00712
GO:0031532	3	0.00792
GO:0010921	3	0.00904
GO:0032102	3	0.00904
GO:0015031	14	0.00972
GO:0046496	4	0.01022
GO:0019362	4	0.01022
GO:0070328	3	0.01025
GO:0080134	9	0.01030
GO:0007173	5	0.01051
GO:0038127	5	0.01051
GO:0006898	4	0.01107
GO:0055090	3	0.01154
GO:0009306	4	0.01291
GO:0071985	3	0.01441
GO:0032509	3	0.01441
GO:0033036	31	0.01783
GO:0046434	4	0.01832
GO:0031399	11	0.01911
GO:1903052	5	0.01947
GO:0010876	9	0.01948
GO:0072524	4	0.01955
GO:0006869	5	0.02032
GO:0019363	3	0.02318
GO:0019359	3	0.02318
GO:0006733	4	0.02353
GO:0002790	4	0.02644
GO:0042593	3	0.02733
GO:2000060	3	0.02733
GO:0006497	3	0.02955
GO:0072659	3	0.03186
GO:0042158	3	0.03186
GO:1905952	3	0.03186
GO:0072525	3	0.03186
GO:0007167	9	0.03289
GO:0055076	3	0.03427
GO:0051240	8	0.03474
GO:0048259	2	0.03495
GO:1901570	2	0.03495
GO:0035337	2	0.03495
GO:0061448	2	0.03495
GO:0032940	10	0.03593
GO:0006811	15	0.03617
GO:0048193	5	0.03620
GO:0006665	3	0.03676
GO:0031175	14	0.03711
GO:0032501	61	0.03716
GO:0007254	4	0.03827
GO:0048520	2	0.03943
GO:0033500	3	0.04202
GO:0042157	3	0.04202
GO:0051050	5	0.04228
GO:0006732	6	0.04361
GO:0006891	2	0.04411
GO:0015908	2	0.04411
GO:0015909	2	0.04411
GO:0006458	2	0.04411
GO:0030301	2	0.04411
GO:0015696	2	0.04411
GO:0043666	2	0.04411
GO:0006109	2	0.04411
GO:0051403	4	0.04413
GO:2000058	3	0.04479
GO:0030198	3	0.04479
GO:0007169	7	0.04511
GO:0044419	3	0.04764
GO:0032502	49	0.04772
GO:0005975	9	0.04884
GO:0034097	2	0.04899
