GO.ID	Significant	test
GO:0035556	131	0.00012
GO:0007422	19	0.00013
GO:0007275	338	0.00014
GO:0051726	55	0.00015
GO:0055067	12	0.00017
GO:0033043	69	0.00022
GO:0035023	9	0.00022
GO:0042063	22	0.00023
GO:2000027	22	0.00023
GO:0008595	25	0.00023
GO:0007178	17	0.00027
GO:0008361	25	0.00032
GO:0007265	41	0.00032
GO:0007293	20	0.00033
GO:0034333	8	0.00035
GO:0045880	8	0.00035
GO:0007530	9	0.00035
GO:0010256	31	0.00038
GO:0032269	39	0.00039
GO:0030838	12	0.00045
GO:0034332	15	0.00050
GO:0007476	63	0.00050
GO:1902532	24	0.00058
GO:0040008	73	0.00060
GO:0035335	12	0.00060
GO:0043297	14	0.00061
GO:0071902	13	0.00062
GO:0035332	9	0.00078
GO:0018105	12	0.00079
GO:0046777	12	0.00079
GO:1903036	7	0.00088
GO:0007309	22	0.00089
GO:0040017	12	0.00104
GO:0007167	60	0.00108
GO:0048640	19	0.00110
GO:0010669	9	0.00112
GO:0048589	83	0.00112
GO:0001754	37	0.00115
GO:0007015	37	0.00117
GO:1902903	25	0.00119
GO:0030866	13	0.00130
GO:0007474	12	0.00134
GO:0048812	92	0.00134
GO:0051640	43	0.00136
GO:0007475	7	0.00141
GO:0007432	7	0.00141
GO:0007280	7	0.00141
GO:0001738	33	0.00148
GO:0045570	9	0.00157
GO:0006469	9	0.00157
GO:1902667	9	0.00157
GO:0060968	13	0.00163
GO:0007268	44	0.00165
GO:0006511	41	0.00168
GO:0002168	15	0.00172
GO:0006355	152	0.00173
GO:0008586	11	0.00174
GO:0001709	25	0.00177
GO:0051241	35	0.00181
GO:0045944	38	0.00184
GO:0001558	21	0.00192
GO:0007480	17	0.00198
GO:0006486	19	0.00211
GO:0008258	9	0.00215
GO:0001737	9	0.00215
GO:0008543	7	0.00215
GO:0003383	7	0.00215
GO:0031110	7	0.00215
GO:0007426	7	0.00215
GO:0007419	11	0.00224
GO:0060627	25	0.00228
GO:0007346	30	0.00235
GO:0051130	53	0.00238
GO:0007517	20	0.00248
GO:0007611	32	0.00258
GO:0009267	16	0.00266
GO:0032147	12	0.00271
GO:0035152	17	0.00276
GO:0043066	18	0.00283
GO:0051650	19	0.00286
GO:0016318	9	0.00289
GO:0031098	21	0.00301
GO:0045466	13	0.00308
GO:0016055	29	0.00317
GO:0045087	22	0.00318
GO:0016331	30	0.00326
GO:0048639	18	0.00329
GO:0060446	12	0.00336
GO:0008286	12	0.00336
GO:0008283	54	0.00338
GO:0045216	23	0.00339
GO:0046620	17	0.00348
GO:0051272	11	0.00360
GO:0035329	18	0.00362
GO:0030516	8	0.00365
GO:0035051	8	0.00365
GO:0050832	8	0.00365
GO:0008285	17	0.00379
GO:0010975	26	0.00389
GO:0007264	49	0.00398
GO:0048568	12	0.00413
GO:0048477	104	0.00415
GO:0022604	39	0.00421
GO:0030707	56	0.00423
GO:0016567	33	0.00437
GO:0035075	11	0.00449
GO:0120192	11	0.00449
GO:0016199	7	0.00450
GO:0018210	7	0.00450
GO:0051098	7	0.00450
GO:0048813	25	0.00460
GO:0006887	21	0.00477
GO:0048149	10	0.00478
GO:0008407	10	0.00478
GO:0060560	25	0.00479
GO:0007389	89	0.00490
GO:0051017	9	0.00496
GO:0007367	9	0.00496
GO:0016049	36	0.00505
GO:0051258	23	0.00515
GO:0008582	22	0.00522
GO:0044265	65	0.00528
GO:0001707	6	0.00534
GO:0000278	65	0.00553
GO:0046328	14	0.00569
GO:0032880	19	0.00572
GO:0051179	310	0.00578
GO:0050790	96	0.00580
GO:0045666	15	0.00584
GO:0048869	267	0.00587
GO:0043068	17	0.00589
GO:0071495	41	0.00598
GO:1905952	10	0.00600
GO:0007051	21	0.00610
GO:0008587	16	0.00610
GO:0044089	29	0.00617
GO:0046847	9	0.00635
GO:0035071	8	0.00648
GO:0007369	17	0.00653
GO:0007416	34	0.00668
GO:0031346	14	0.00670
GO:0070727	71	0.00674
GO:0048190	11	0.00678
GO:0090287	11	0.00678
GO:0007442	11	0.00678
GO:0007291	11	0.00678
GO:0048646	86	0.00680
GO:0097479	16	0.00683
GO:0070647	48	0.00690
GO:0031329	30	0.00696
GO:0051253	52	0.00702
GO:0046907	78	0.00714
GO:0007552	98	0.00725
GO:0042461	23	0.00734
GO:0042692	22	0.00737
GO:0045893	58	0.00744
GO:0042059	10	0.00745
GO:0051302	10	0.00745
GO:0006357	90	0.00747
GO:0007413	6	0.00769
GO:0033692	6	0.00769
GO:0007279	6	0.00769
GO:0031327	56	0.00773
GO:0042051	17	0.00776
GO:0007616	14	0.00786
GO:0032482	9	0.00803
GO:0038202	9	0.00803
GO:0045185	9	0.00803
GO:0006955	37	0.00820
GO:0061326	11	0.00823
GO:0070868	7	0.00840
GO:0045879	8	0.00841
GO:2000026	99	0.00859
GO:0031032	18	0.00862
GO:0061564	75	0.00881
GO:0007424	41	0.00901
GO:0048103	10	0.00915
GO:0035088	10	0.00915
GO:0000165	26	0.00968
GO:0007283	34	0.00982
GO:0001752	11	0.00990
GO:0043405	9	0.01002
GO:0045197	9	0.01002
GO:0051651	9	0.01002
GO:0042127	39	0.01009
GO:0048523	187	0.01013
GO:0003002	80	0.01015
GO:0008045	12	0.01036
GO:0051223	12	0.01036
GO:0070646	12	0.01036
GO:0048489	15	0.01054
GO:0097480	15	0.01054
GO:0043067	45	0.01055
GO:0051225	13	0.01058
GO:0046622	6	0.01072
GO:0045467	6	0.01072
GO:0009826	6	0.01072
GO:0048015	6	0.01072
GO:0048678	6	0.01072
GO:0007009	8	0.01074
GO:0030004	8	0.01074
GO:0032507	8	0.01074
GO:0034613	63	0.01086
GO:0010558	54	0.01089
GO:0032102	7	0.01109
GO:0035195	7	0.01109
GO:0072347	7	0.01109
GO:0010976	10	0.01113
GO:0016579	10	0.01113
GO:0097435	55	0.01114
GO:0007169	42	0.01129
GO:0007420	20	0.01131
GO:0045596	20	0.01131
