GO.ID	Significant	test
GO:0044773	2	0.00010
GO:0000082	2	0.00041
GO:1901991	2	0.00049
GO:0051052	2	0.00140
GO:0007405	2	0.00164
GO:0140013	2	0.00487
GO:0045664	2	0.00863
GO:0006281	2	0.01256
GO:0051094	2	0.01283
GO:0051240	2	0.01365
GO:0048135	1	0.01475
GO:0006919	1	0.01475
GO:0106030	1	0.01671
GO:1900180	1	0.01671
GO:0040018	1	0.01866
GO:0010389	1	0.01866
GO:0016241	1	0.01866
GO:1902749	1	0.01866
GO:0043280	1	0.01866
GO:0006270	1	0.01963
GO:0048134	1	0.01963
GO:2001056	1	0.01963
GO:2000045	1	0.01963
GO:0006310	2	0.02016
GO:0006275	1	0.02060
GO:1902806	1	0.02060
GO:0032388	1	0.02060
GO:0009411	1	0.02157
GO:2001020	1	0.02157
GO:0000086	1	0.02254
GO:0051222	1	0.02254
GO:1904951	1	0.02254
GO:1903829	1	0.02254
GO:0006508	3	0.02294
GO:0010950	1	0.02352
GO:0043523	1	0.02352
GO:0007131	1	0.02352
GO:0044839	1	0.02448
GO:0035825	1	0.02448
GO:0031099	1	0.02448
GO:0046822	1	0.02545
GO:0051402	1	0.02545
GO:0033157	1	0.02642
GO:0033673	1	0.02642
GO:0043281	1	0.02642
GO:0097193	1	0.02739
GO:0010508	1	0.02739
GO:0055059	1	0.02739
GO:0045665	1	0.02835
GO:0010212	1	0.02835
GO:0010952	1	0.02835
GO:2000116	1	0.02835
GO:0016203	1	0.02932
GO:0055057	1	0.02932
GO:0036445	1	0.02932
GO:0012501	2	0.03048
GO:0051348	1	0.03125
GO:0048872	1	0.03221
GO:0040014	1	0.03221
GO:0014016	1	0.03317
GO:0035264	1	0.03509
GO:0048103	1	0.03605
GO:0010976	1	0.03701
GO:0007127	1	0.03701
GO:0008219	2	0.03726
GO:0019216	1	0.03797
GO:1901214	1	0.03797
GO:0097190	1	0.03893
GO:0046532	1	0.03893
GO:0071482	1	0.03988
GO:0070997	1	0.04084
GO:0060538	1	0.04560
GO:0046620	1	0.04655
GO:0098722	1	0.04655
GO:0051223	1	0.04750
GO:0070201	1	0.04845
GO:0006606	1	0.04845
GO:1903827	1	0.04845
GO:0032386	1	0.04845
GO:0071478	1	0.04940
