GO.ID	Significant	test
GO:0042752	2	0.0038
GO:0030431	2	0.0041
GO:0048512	2	0.0065
GO:0006508	4	0.0110
GO:0048521	1	0.0210
GO:1901616	1	0.0224
GO:0019933	1	0.0238
GO:0034314	1	0.0238
GO:0051241	2	0.0251
GO:0040018	1	0.0265
GO:0046580	1	0.0293
GO:0051058	1	0.0307
GO:0006641	1	0.0307
GO:0044275	1	0.0321
GO:0016059	1	0.0321
GO:0045010	1	0.0321
GO:0022400	1	0.0334
GO:0006511	2	0.0361
GO:0007614	1	0.0362
GO:0019935	1	0.0362
GO:0006638	1	0.0389
GO:0006639	1	0.0389
GO:0016056	1	0.0389
GO:0019941	2	0.0389
GO:0045187	1	0.0403
GO:0008277	1	0.0403
GO:0050805	1	0.0403
GO:0032259	2	0.0405
GO:0043632	2	0.0415
GO:0007603	1	0.0430
GO:0051603	2	0.0437
GO:0042749	1	0.0443
GO:0050802	1	0.0443
GO:0044257	2	0.0451
GO:0040014	1	0.0457
GO:0044087	2	0.0464
GO:0022410	1	0.0471
GO:0031146	1	0.0471
GO:0030838	1	0.0484
GO:0035264	1	0.0498
GO:0008355	1	0.0498
GO:0019751	1	0.0498
