GO.ID	Significant	test
GO:0031396	3	0.00024
GO:0000122	5	0.00043
GO:0045892	9	0.00214
GO:0016348	2	0.00240
GO:0031058	2	0.00273
GO:0014019	2	0.00386
GO:0007406	2	0.00471
GO:0048867	2	0.00613
GO:0006325	7	0.00877
GO:2000113	11	0.00999
GO:0090263	2	0.01075
GO:0017148	2	0.01208
GO:0030177	2	0.01277
GO:0007298	3	0.01363
GO:0034249	2	0.01421
GO:0007297	3	0.01750
GO:0010629	12	0.01910
GO:0016485	2	0.02060
GO:0010631	3	0.02960
GO:0090132	3	0.03016
GO:0051172	12	0.03017
GO:0060828	2	0.03202
GO:0090130	3	0.03244
GO:0001667	3	0.03665
GO:0000209	2	0.03846
GO:0040011	6	0.04006
GO:0060070	2	0.04072
GO:0022416	2	0.04072
GO:0032879	5	0.04119
GO:0036011	3	0.04131
GO:0035285	3	0.04131
GO:0051604	2	0.04186
GO:0032269	3	0.04382
GO:0051248	3	0.04450
GO:0001558	2	0.04536
GO:0030111	2	0.04897
