GO.ID	Significant	test
GO:0044283	2	0.0096
GO:0009225	1	0.0106
GO:0044281	4	0.0139
GO:0044255	2	0.0145
GO:1902652	1	0.0162
GO:0034620	1	0.0169
GO:0070050	1	0.0169
GO:1903509	1	0.0189
GO:0006664	1	0.0189
GO:0035166	1	0.0189
GO:0006986	1	0.0189
GO:0042181	1	0.0196
GO:0016125	1	0.0203
GO:0035967	1	0.0224
GO:0048542	1	0.0245
GO:0035966	1	0.0245
GO:0006665	1	0.0259
GO:1901565	2	0.0266
GO:0006629	2	0.0270
GO:1901136	1	0.0286
GO:1901135	2	0.0302
GO:0044242	1	0.0307
GO:0006633	1	0.0348
GO:0008202	1	0.0383
GO:0006733	1	0.0383
GO:0042180	1	0.0410
GO:0006643	1	0.0417
GO:0030097	1	0.0458
GO:0008344	1	0.0492
GO:0006066	1	0.0499
