GO.ID	test
GO:0016579	0.0073
GO:0043412	0.0094
GO:0044267	0.0096
GO:1901988	0.0132
GO:1901991	0.0132
GO:0033866	0.0149
GO:0035601	0.0149
GO:0034030	0.0149
GO:0034033	0.0149
GO:0010948	0.0168
GO:0098732	0.0168
GO:1901564	0.0172
GO:0030163	0.0174
GO:0032006	0.0187
GO:0007346	0.0188
GO:0048519	0.0208
GO:0045930	0.0208
GO:0006464	0.0210
GO:0036211	0.0210
GO:0000075	0.0229
GO:0016310	0.0260
GO:0031929	0.0298
GO:0009057	0.0308
GO:0070646	0.0338
GO:0051726	0.0364
GO:1901987	0.0375
GO:1901990	0.0375
GO:0140013	0.0402
GO:0006302	0.0458
GO:0051276	0.0459
GO:0032259	0.0476
GO:0006807	0.0485
GO:0033865	0.0487
GO:0001510	0.0487
GO:0033875	0.0487
GO:0034032	0.0487
