GO.ID	Significant	test
GO:0009101	31	0.00015
GO:0070085	30	0.00018
GO:0001510	17	0.00019
GO:0034599	14	0.00026
GO:0034613	135	0.00042
GO:1990542	13	0.00069
GO:0048137	8	0.00074
GO:0016226	8	0.00074
GO:0007030	22	0.00092
GO:0043162	9	0.00148
GO:0006261	23	0.00154
GO:0071824	29	0.00157
GO:0022900	27	0.00166
GO:0061983	10	0.00228
GO:0006221	10	0.00228
GO:0045454	9	0.00248
GO:0006744	7	0.00249
GO:0006779	8	0.00259
GO:0042775	11	0.00302
GO:0051052	20	0.00361
GO:0071427	12	0.00367
GO:0009123	43	0.00400
GO:0030866	16	0.00405
GO:0046034	30	0.00416
GO:0002098	6	0.00432
GO:0042559	6	0.00432
GO:0044804	6	0.00432
GO:0000959	8	0.00434
GO:0015988	7	0.00454
GO:0061136	16	0.00523
GO:0060627	34	0.00554
GO:0045747	13	0.00568
GO:0019751	14	0.00611
GO:0034314	8	0.00688
GO:0140029	13	0.00753
GO:0042168	7	0.00763
GO:0001522	6	0.00801
GO:0048278	9	0.00881
GO:0048232	58	0.00909
