GO.ID	test
GO:0036503	0.00018
GO:1903052	0.00031
GO:1905475	0.00035
GO:0032374	0.00035
GO:0015868	0.00084
GO:0051503	0.00084
GO:0001676	0.00102
GO:0005977	0.00147
GO:0007291	0.00147
GO:0019915	0.00156
GO:0008654	0.00175
GO:0010951	0.00194
GO:0019058	0.00273
GO:1905954	0.00273
GO:0009396	0.00584
GO:0015031	0.00589
GO:0070328	0.00614
GO:1901570	0.00614
GO:0006754	0.00736
GO:0032102	0.00848
GO:0042886	0.01103
GO:0070050	0.01127
GO:1905897	0.01134
GO:0060260	0.01134
GO:0022600	0.01134
GO:0048072	0.01134
GO:0001508	0.01134
GO:0050708	0.01454
GO:0006766	0.01454
GO:0016125	0.01813
GO:0009581	0.01827
GO:0009582	0.01827
GO:0035337	0.01829
GO:0110110	0.01834
GO:0070374	0.01834
GO:0045944	0.01886
GO:0050790	0.02577
GO:0007179	0.02670
GO:0032482	0.02670
GO:0009266	0.03083
GO:0016567	0.03345
GO:0031532	0.03629
GO:0043174	0.03629
GO:0042632	0.03629
GO:0031348	0.04697
