GO.ID	test
GO:0006839	0.00013
GO:0070328	0.00044
GO:0005975	0.00047
GO:0017144	0.00053
GO:0033500	0.00067
GO:0006739	0.00089
GO:0007586	0.00089
GO:0051156	0.00089
GO:0071702	0.00162
GO:0051503	0.00172
GO:0015868	0.00172
GO:0001676	0.00186
GO:0007029	0.00265
GO:0007436	0.00277
GO:0006108	0.00277
GO:0046907	0.00325
GO:0010770	0.00328
GO:0018208	0.00370
GO:0016485	0.00387
GO:0071705	0.00397
GO:1902358	0.00418
GO:0006639	0.00536
GO:0006112	0.00538
GO:0045047	0.00538
GO:0045807	0.00538
GO:0016126	0.00740
GO:0061077	0.00740
GO:0034728	0.00764
GO:0006720	0.00818
GO:0090407	0.00819
GO:0006766	0.00951
GO:0042632	0.00953
GO:0010823	0.00991
GO:0060438	0.00991
GO:0000041	0.01550
GO:1902653	0.01695
GO:0042398	0.01695
GO:0006487	0.01826
GO:0015807	0.01826
GO:0006534	0.01971
GO:0046349	0.02219
GO:0006506	0.02362
GO:0034976	0.02521
GO:0006835	0.02717
GO:0031145	0.02717
GO:0051180	0.02717
GO:0032787	0.02735
GO:0042335	0.03343
GO:0007088	0.03625
GO:0009123	0.03688
GO:0062012	0.03945
GO:0009070	0.03980
GO:0036098	0.03980
GO:0050796	0.03980
GO:0031644	0.03980
GO:0006207	0.03980
GO:0051181	0.03980
GO:0006782	0.03980
GO:0090502	0.04054
